precision,recall,f1-score,support,model,class
0.8883610451306413,0.8311111111111111,0.8587830080367393,450.0,Baseline CNN,AnnualCrop
0.9205607476635514,0.8755555555555555,0.89749430523918,450.0,Baseline CNN,Forest
0.8467336683417085,0.7488888888888889,0.7948113207547169,450.0,Baseline CNN,HerbaceousVegetation
0.6470588235294118,0.5573333333333333,0.5988538681948424,375.0,Baseline CNN,Highway
0.8854961832061069,0.928,0.90625,375.0,Baseline CNN,Industrial
0.8104575163398693,0.8266666666666667,0.8184818481848185,300.0,Baseline CNN,Pasture
0.739612188365651,0.712,0.7255434782608695,375.0,Baseline CNN,PermanentCrop
0.8164794007490637,0.9688888888888888,0.8861788617886179,450.0,Baseline CNN,Residential
0.6866359447004609,0.7946666666666666,0.7367119901112484,375.0,Baseline CNN,River
0.913716814159292,0.9177777777777778,0.9157427937915744,450.0,Baseline CNN,SeaLake
0.8542600896860987,0.8466666666666667,0.8504464285714286,450.0,Baseline CNN B,AnnualCrop
0.8553971486761711,0.9333333333333332,0.8926673751328374,450.0,Baseline CNN B,Forest
0.8360655737704918,0.7933333333333333,0.814139110604333,450.0,Baseline CNN B,HerbaceousVegetation
0.7272727272727273,0.6186666666666667,0.6685878962536023,375.0,Baseline CNN B,Highway
0.8994708994708994,0.9066666666666666,0.903054448871182,375.0,Baseline CNN B,Industrial
0.796923076923077,0.8633333333333333,0.8288,300.0,Baseline CNN B,Pasture
0.6523702031602708,0.7706666666666667,0.706601466992665,375.0,Baseline CNN B,PermanentCrop
0.8643724696356275,0.9488888888888888,0.9046610169491526,450.0,Baseline CNN B,Residential
0.823170731707317,0.72,0.7681365576102418,375.0,Baseline CNN B,River
0.9473684210526316,0.84,0.8904593639575972,450.0,Baseline CNN B,SeaLake
0.9383259911894272,0.9466666666666668,0.9424778761061948,450.0,MobileNetV2,AnnualCrop
0.9799107142857144,0.9755555555555556,0.977728285077951,450.0,MobileNetV2,Forest
0.946067415730337,0.9355555555555556,0.940782122905028,450.0,MobileNetV2,HerbaceousVegetation
0.9238578680203046,0.9706666666666668,0.9466840052015604,375.0,MobileNetV2,Highway
0.9662337662337662,0.992,0.9789473684210528,375.0,MobileNetV2,Industrial
0.9574468085106383,0.9,0.9278350515463918,300.0,MobileNetV2,Pasture
0.922077922077922,0.9466666666666668,0.9342105263157896,375.0,MobileNetV2,PermanentCrop
0.990990990990991,0.9777777777777776,0.9843400447427292,450.0,MobileNetV2,Residential
0.9487870619946092,0.9386666666666666,0.9436997319034852,375.0,MobileNetV2,River
0.995475113122172,0.9777777777777776,0.9865470852017936,450.0,MobileNetV2,SeaLake
0.968609865470852,0.96,0.9642857142857144,450.0,DenseNet121,AnnualCrop
0.978021978021978,0.9888888888888888,0.9834254143646408,450.0,DenseNet121,Forest
0.956140350877193,0.9688888888888888,0.9624724061810156,450.0,DenseNet121,HerbaceousVegetation
0.9278350515463918,0.96,0.943643512450852,375.0,DenseNet121,Highway
0.973753280839895,0.9893333333333332,0.9814814814814816,375.0,DenseNet121,Industrial
0.9565217391304348,0.9533333333333334,0.9549248747913188,300.0,DenseNet121,Pasture
0.9489247311827956,0.9413333333333334,0.9451137884872824,375.0,DenseNet121,PermanentCrop
0.9887640449438202,0.9777777777777776,0.9832402234636872,450.0,DenseNet121,Residential
0.9561643835616438,0.9306666666666666,0.9432432432432432,375.0,DenseNet121,River
0.9954853273137696,0.98,0.9876819708846584,450.0,DenseNet121,SeaLake
0.9391304347826088,0.96,0.9494505494505494,450.0,InceptionV3,AnnualCrop
0.978021978021978,0.9888888888888888,0.9834254143646408,450.0,InceptionV3,Forest
0.9445676274944568,0.9466666666666668,0.9456159822419534,450.0,InceptionV3,HerbaceousVegetation
0.956989247311828,0.9493333333333334,0.9531459170013388,375.0,InceptionV3,Highway
0.9838274932614556,0.9733333333333334,0.9785522788203752,375.0,InceptionV3,Industrial
0.9264214046822744,0.9233333333333332,0.9248747913188649,300.0,InceptionV3,Pasture
0.9296875,0.952,0.9407114624505928,375.0,InceptionV3,PermanentCrop
0.9821826280623608,0.98,0.9810901001112348,450.0,InceptionV3,Residential
0.9641873278236914,0.9333333333333332,0.948509485094851,375.0,InceptionV3,River
0.9932735426008968,0.9844444444444445,0.9888392857142856,450.0,InceptionV3,SeaLake
