epoch,phase,accuracy,learning_rate,loss,val_accuracy,val_loss
1,feature_extraction,0.8074073791503906,0.0010000000474974513,0.59372478723526,0.9046913385391235,0.29970595240592957
2,feature_extraction,0.8824338912963867,0.0010000000474974513,0.35222700238227844,0.9311110973358154,0.23121124505996704
3,feature_extraction,0.8948147892951965,0.0010000000474974513,0.31090471148490906,0.9355555772781372,0.21235273778438568
4,feature_extraction,0.8969841003417969,0.0010000000474974513,0.3002162575721741,0.936296284198761,0.20227298140525818
5,feature_extraction,0.8989418148994446,0.0010000000474974513,0.2970241904258728,0.9370370507240295,0.19811643660068512
6,feature_extraction,0.9017989635467529,0.0010000000474974513,0.2839101254940033,0.9340741038322449,0.20497417449951172
7,feature_extraction,0.9040740728378296,0.0010000000474974513,0.27864953875541687,0.9399999976158142,0.1921093612909317
8,feature_extraction,0.9033862352371216,0.0010000000474974513,0.2812030017375946,0.9316049218177795,0.20295725762844086
9,feature_extraction,0.9023809432983398,0.0010000000474974513,0.2883243262767792,0.9407407641410828,0.18452134728431702
10,feature_extraction,0.9079365134239197,0.0010000000474974513,0.2699320912361145,0.9427160620689392,0.18694651126861572
11,feature_extraction,0.9061375856399536,0.0010000000474974513,0.27347078919410706,0.9404938220977783,0.18686434626579285
12,feature_extraction,0.9073016047477722,0.0005000000237487257,0.2737095355987549,0.941728413105011,0.1771061271429062
13,feature_extraction,0.9113227725028992,0.0005000000237487257,0.2614765167236328,0.9407407641410828,0.17948827147483826
14,feature_extraction,0.9089418053627014,0.0005000000237487257,0.2648204565048218,0.9412345886230469,0.17620566487312317
15,fine_tuning,0.914814829826355,9.999999747378752e-06,0.24937880039215088,0.9441975355148315,0.17004668712615967
16,fine_tuning,0.9211111068725586,9.999999747378752e-06,0.23254849016666412,0.9486419558525085,0.16083459556102753
17,fine_tuning,0.9241799116134644,9.999999747378752e-06,0.223457932472229,0.9486419558525085,0.15703310072422028
18,fine_tuning,0.9276719689369202,9.999999747378752e-06,0.2115195393562317,0.9454321265220642,0.16265755891799927
19,fine_tuning,0.9302116632461548,9.999999747378752e-06,0.20706824958324432,0.9528394937515259,0.14654266834259033
20,fine_tuning,0.9326984286308289,9.999999747378752e-06,0.194601371884346,0.9528394937515259,0.14955615997314453
21,fine_tuning,0.936560869216919,9.999999747378752e-06,0.19162510335445404,0.9555555582046509,0.1391790807247162
22,fine_tuning,0.9380423426628113,9.999999747378752e-06,0.1846279799938202,0.9538271427154541,0.14483720064163208
23,fine_tuning,0.9382539391517639,9.999999747378752e-06,0.18076395988464355,0.9535802602767944,0.1435748040676117
24,fine_tuning,0.9431216716766357,4.999999873689376e-06,0.1679922193288803,0.9585185050964355,0.1318705528974533
